Date,Portfolio_Value,Benchmark_Value
2020-03-09,146907.53444692865,124343.57356199864
2020-03-10,147671.57416836283,127284.99389259606
2020-03-11,145165.38383656132,123027.71400150587
2020-03-12,137196.7205486258,113503.34819480596
2020-03-13,140279.34108327582,119901.81391107026
2020-03-16,134388.90477614375,111240.55835258387
2020-03-17,137352.96855195888,114747.915636444
2020-03-18,130260.01510075001,107804.58078749408
2020-03-19,134329.45437648895,111661.49694847043
2020-03-20,134245.58630442474,110190.6205619566
2020-03-23,134354.71021177655,108005.71482343666
2020-03-24,139566.1977423514,114450.37773416738
2020-03-25,138896.79806269702,115476.49125307507
2020-03-26,138710.77342539225,117307.4074084244
2020-03-27,138663.97102060763,115240.93618931375
2020-03-30,140949.25438559655,118114.16663163336
2020-03-31,139894.95313966763,118155.49538957613
2020-04-01,140519.6041275928,116596.97621517313
2020-04-02,141218.03689028753,117346.482225827
2020-04-03,141146.8723214029,116543.66742248977
2020-04-06,143292.2624627276,119864.21154465331
2020-04-07,142515.1975686992,119534.29144702683
2020-04-08,142729.9300526308,120787.83440428099
2020-04-09,144908.52988758837,122461.37688143131
2020-04-13,145231.8765260024,121756.2239875163
2020-04-14,146415.43909885437,123365.49321920724
2020-04-15,148295.06381568604,123589.59882235146
2020-04-16,147897.3313660156,123391.76760073438
2020-04-17,147429.1056254803,125063.31638578966
2020-04-20,147752.2883320629,124551.33716739653
2020-04-21,147374.97269991963,123222.8623422015
2020-04-22,148598.06340580212,124608.45129547075
2020-04-23,148350.6437154838,124041.01284213195
2020-04-24,149017.64706720426,125187.83467707949
2020-04-27,148629.522930968,125728.49470753805
2020-04-28,148530.5969554587,125998.26024529838
2020-04-29,149316.84274964788,127775.84502152284
2020-04-30,148572.32787359974,126701.8303747933
2020-05-01,149271.80036235225,126048.76178427765
2020-05-04,149280.7659818833,126287.89305405103
2020-05-05,149551.8424807969,126586.01631927096
2020-05-06,149131.04714466626,126470.79222726534
2020-05-07,149477.33985496024,126656.52763835114
2020-05-08,149338.39615402947,127373.64039116437
2020-05-11,149260.2725174905,127855.46422190886
2020-05-12,149244.2269464962,126864.22913072744
2020-05-13,149186.91050906404,125748.1891633702
2020-05-14,149362.23817184713,125758.67237033919
2020-05-15,150150.90175692717,126310.60658574663
2020-05-19,149855.16850289394,126969.34499543326
2020-05-20,150292.8257725883,128014.50354982985
2020-05-21,149268.33261784818,127666.72535518854
2020-05-22,149957.012761577,128135.74864352742
2020-05-25,151573.21007388952,129231.84116134868
